cycle,HI1,HI2,y1,HI3,HI4,y2
1,1661.4,121.53,1.8911,0.038168,0.061581,1.8808
2,1700.4,2388.3,1.8806,0.039713,0.061807,1.8815
3,1700.8,2414.6,1.8807,0.038401,0.061001,1.8811
4,1720.3,2429.1,1.8808,0.037105,0.060076,1.871
5,1719.3,2431.4,1.8795,0.037834,0.061294,1.8702
6,1719.8,2424.5,1.8807,0.03752,0.060073,1.8707
7,1719.7,2430.6,1.8799,0.037397,0.061233,1.8596
8,1721.6,2428.2,1.8815,0.03592,0.060571,1.86
9,1720.2,2428.2,1.8697,0.037386,0.061317,1.8592
10,1720.9,2431.7,1.8701,0.037891,0.060329,1.8481
11,1720.8,2433.8,1.87,0.037157,0.061035,1.8492
12,1721.1,2438.8,1.8597,0.041759,0.064456,1.8628
13,1721.4,2220.8,1.8591,0.042327,0.064142,1.8521
14,1721.1,2427.4,1.859,0.039673,0.063338,1.847
15,1721,2428.3,1.8594,0.040465,0.063972,1.8368
16,1700.6,2426.3,1.8587,0.040831,0.062922,1.8372
17,1701.8,2414.9,1.8478,0.040787,0.063389,1.8317
18,1701.9,2409.2,1.8485,0.039817,0.064467,1.8211
19,1701.8,2411.2,1.8484,0.038791,0.06281,1.8165
20,1740.7,2398.3,1.8808,0.041358,0.064093,1.8114
21,1760.3,2445.2,1.8815,0.041988,0.062907,1.8116
22,1741.9,2510.2,1.8811,0.041064,0.06183,1.8061
23,1722.1,2507.2,1.871,0.03971,0.063083,1.8132
24,1739.8,2488.6,1.8702,0.046589,0.069387,1.7958
25,1721.2,2484,1.8707,0.045059,0.069281,1.7859
26,1721.2,2484.7,1.8596,0.045814,0.069665,1.7803
27,1702.8,2468.5,1.86,0.048887,0.069685,1.8157
28,1701.3,2467.9,1.8592,0.048055,0.069886,1.8002
29,1701.1,2449.4,1.8481,0.047509,0.070373,1.7904
30,1684.1,2450.3,1.8492,0.04818,0.07048,1.7803
31,1705.2,2453,1.8835,0.048532,0.07035,1.7753
32,1705.1,2441.8,1.8628,0.049746,0.07096,1.7703
33,1695.5,0,1.8521,0.049894,0.069888,1.7601
34,1676.7,2463.5,1.847,0.047621,0.069596,1.7496
35,1658.5,2450.7,1.8368,0.04648,0.071098,1.7497
36,1668.1,2435.8,1.8372,0.047969,0.070893,1.745
37,1648.6,2421.8,1.8317,0.048225,0.070977,1.7396
38,1639.5,2419,1.8211,0.04909,0.070229,1.7286
39,1630.1,2417,1.8165,0.048817,0.071894,1.7239
40,1620.8,2400.5,1.8114,0.048892,0.070126,1.714
41,1630,2384.9,1.8116,0.047423,0.069078,1.714
42,1611.3,2372.8,1.8061,0.04846,0.070838,1.7037
43,1605.8,2376,1.8132,0.048909,0.072244,1.6936
44,1602.4,2376.6,1.8063,0.050493,0.071478,1.6877
45,1592.4,2370.5,1.7958,0.049654,0.072815,1.6831
46,1573.7,2375.5,1.7859,0.049805,0.071837,1.6779
47,1554.8,2358.4,1.7803,0.049601,0.072121,1.6732
48,1658.2,2338.4,1.8151,0.049333,0.072638,1.6674
49,1648.6,2324.7,1.8157,0.048245,0.073444,1.6623
50,1611.2,2341.9,1.8002,0.050015,0.073819,1.6574
51,1592.5,2429.1,1.7904,0.047457,0.072556,1.6525
52,1564.9,2406.5,1.7803,0.048886,0.072899,1.6472
53,1564.2,2368.5,1.7753,0.049042,0.072024,1.6364
54,1554.9,2346,1.7703,0.04862,0.072235,1.6363
55,1536.3,2329.5,1.7601,0.048307,0.074496,1.6316
56,1527.3,2320.5,1.7496,0.048077,0.074038,1.6212
57,1507.8,2309.4,1.7497,0.048897,0.071937,1.6164
58,1499.1,2296,1.745,0.050605,0.074005,1.6158
59,1498.8,2282,1.7396,0.055132,0.074632,1.6167
60,1479.5,2265.4,1.7286,0.052122,0.075303,1.6109
61,1470.9,2262.2,1.7239,0.050776,0.074964,1.6007
62,1451.7,2249.2,1.714,0.051267,0.075412,1.5959
63,1451.9,2233.8,1.714,0.051356,0.074965,1.5962
64,1433.2,2215.4,1.7037,0.051949,0.074699,1.5958
65,1443.2,2197.3,1.704,0.051287,0.075395,1.5907
66,1424.4,2196.7,1.6936,0.055028,0.077059,1.6888
67,1395.7,2190.3,1.6877,0.053241,0.075583,1.6157
68,1396,2169.4,1.6831,0.052735,0.075743,1.6057
69,1386.3,2146.7,1.6779,0.054102,0.076059,1.595
70,1376.9,2134.2,1.6732,0.053379,0.076877,1.5904
71,1376.6,2118.5,1.6674,0.055238,0.078844,1.5854
72,1358,2106.9,1.6623,0.054439,0.077854,1.58
73,1348.9,2092.4,1.6574,0.054055,0.078211,1.5752
74,1339.7,2077.1,1.6525,0.053353,0.078199,1.5698
75,1329.9,2061.6,1.6472,0.053548,0.077998,1.5703
76,1311.5,2050.9,1.6364,0.054296,0.077556,1.5652
77,1301.8,2035.9,1.6363,0.054141,0.078491,1.5596
