cycle,HI1,HI2,y1,HI3,HI4,y2
1,1568.8,91.625,1.855,0.065158,0.095554,1.855
2,1590.6,2240.8,1.8432,0.062696,0.091619,1.8432
3,1592,2265.8,1.8396,0.061378,0.091883,1.8396
4,1582.6,2256.9,1.8307,0.061337,0.091412,1.8307
5,1602.2,2244.6,1.8327,0.062464,0.087845,1.8043
6,1604,2260.4,1.8285,0.061055,0.087955,1.7835
7,1582.5,2257.9,1.8212,0.060649,0.087549,1.7462
8,1571.8,2233.8,1.8152,0.061065,0.088485,1.7075
9,1570.3,2217.7,1.8043,0.062871,0.085006,1.6993
10,1588.3,2216.3,1.8231,0.06279,0.086111,1.6572
11,1578.1,2243.9,1.8121,0.061269,0.087113,1.614
12,1566.1,2230.8,1.8047,0.06023,0.087785,1.6109
13,1543.9,2211.5,1.7908,0.062319,0.085988,1.5866
14,1531,2186.1,1.7835,0.063288,0.088473,1.5322
15,1537.6,2201.4,1.7809,0.062725,0.090046,1.4964
16,1529.7,2175,1.7712,0.064383,0.091081,1.4479
17,1522.3,2174.9,1.7686,0.06276,0.092249,1.4249
18,1497.7,2151,1.7536,0.064035,0.091642,1.4057
19,1475,2126,1.7462,0.065464,0.0925,1.3786
20,1451.4,2142.9,1.7377,0.066057,0.090244,1.3567
21,1445,2081,1.7315,0.065289,0.091392,1.386
22,1440,2057.3,1.7086,0.065169,0.095707,1.3462
23,1425.8,2049.1,1.7115,0.065905,0.09201,1.3519
24,1411.7,2028.2,1.7075,,,
25,1448.8,2034.4,1.7492,,,
26,1443.4,2090.9,1.7328,,,
27,1438.8,2088.6,1.7222,,,
28,1423.9,2071.3,1.7118,,,
29,1396.3,2047.6,1.6993,,,
30,1390.2,2060.8,1.694,,,
31,1363.2,1994.6,1.6819,,,
32,1357.8,1981.1,1.677,,,
33,1353.4,1971.2,1.6655,,,
34,1333.8,1953.1,1.6572,,,
35,1320.2,1949.3,1.6482,,,
36,1299.5,1902.2,1.6388,,,
37,1283.2,1880.3,1.6276,,,
38,1277,1857.2,1.6222,,,
39,1269.4,1851.3,1.614,,,
40,1330.9,1836.4,1.6761,,,
41,1311.6,1951.8,1.6493,,,
42,1284.5,1909.8,1.6324,,,
43,1275.3,1864.2,1.6164,,,
44,1246.7,1827,1.6109,,,
45,1226.7,1798,1.5955,,,
46,1424.5,1769.9,1.7267,,,
47,1387.5,0,1.7166,,,
48,1355.9,2097.6,1.6958,,,
49,1328.5,2065.1,1.6778,,,
50,1300.6,2030.5,1.6607,,,
51,1316.6,1991.9,1.6664,,,
52,1298.2,1995.7,1.6468,,,
53,1278.3,1979.1,1.6258,,,
54,1248.9,1949.2,1.6122,,,
55,1231.1,1907.9,1.6057,,,
56,1281.5,1877.1,1.6736,,,
57,1264.4,1848.8,1.6404,,,
58,1235.3,0,1.6133,,,
59,1215.1,1953.5,1.5921,,,
60,1185.7,1912.9,1.5866,,,
61,1180.7,1864.6,1.5801,,,
62,1170.4,1829.7,1.5642,,,
63,1150.8,1804.2,1.5556,,,
64,1131.7,1772.5,1.5402,,,
65,1111,1748.1,1.5322,,,
66,1115.7,1720.1,1.5316,,,
67,1094.6,1703.1,1.5223,,,
68,1085.2,1667.6,1.5065,,,
69,1068,1660.8,1.5014,,,
70,1057.5,1633.9,1.4964,,,
71,1107.3,1618.2,1.5334,,,
72,1098.4,1593.3,1.5238,,,
73,1076.7,1503.8,1.5012,,,
74,1057.1,1658.5,1.4924,,,
